         191703 function calls (190411 primitive calls) in 594.125 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6000    0.005    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\enum.py:358(__call__)
      500    0.005    0.000    0.076    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:163(_get_param_names)
        2    0.004    0.002    0.011    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:639(__init__)
      200    0.004    0.000    0.010    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:213(get_nested_backend)
       11    0.004    0.000    0.007    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\arraysetops.py:320(_unique1d)
 1200/100    0.004    0.000    0.041    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:32(clone)
      402    0.004    0.000    0.024    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\queue.py:154(get)
        5    0.004    0.001    0.087    0.017 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\frame.py:587(__init__)
        7    0.004    0.001    0.005    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
        1    0.004    0.004    0.012    0.012 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:206(_partition_estimators)
       22    0.004    0.000    0.004    0.000 {pandas._libs.algos.ensure_platform_int}
      200    0.004    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:350(__call__)
      107    0.004    0.000    0.004    0.000 {pandas._libs.lib.is_list_like}
      121    0.004    0.000    0.004    0.000 {method 'remove' of 'list' objects}
    36/35    0.003    0.000    0.070    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:323(__init__)
       63    0.003    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:161(is_object_dtype)
        1    0.003    0.003    0.006    0.006 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:141(mean_absolute_error)
      500    0.003    0.000    0.059    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2244(_signature_from_callable)
