         191703 function calls (190411 primitive calls) in 594.125 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      423    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_base.py:1291(isspmatrix)
      207    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:434(__exit__)
       11    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      602    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:259(__exit__)
      828    0.001    0.000    0.001    0.000 {built-in method numpy.geterrobj}
       32    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\_config\config.py:634(_warn_if_deprecated)
      200    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:219(__exit__)
       41    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:239(__init__)
      100    0.001    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2675(amax)
      202    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:242(helper)
        2    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\logger.py:23(_squeeze_time)
       32    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\_config\config.py:581(_get_root)
       25    0.001    0.000    0.008    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\base.py:315(shape)
      314    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      114    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:571(_check_estimator_name)
      404    0.001    0.000    0.001    0.000 {built-in method time.time}
        2    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\numeric.py:125(inferred_type)
       47    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1552(get_dtype)
      105    0.001    0.000    0.011    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:359(_check_n_features)
        4    0.001    0.000    0.005    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:10403(_logical_func)
       13    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\common.py:229(asarray_tuplesafe)
       32    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\_config\config.py:127(_get_option)
        1    0.001    0.001    0.004    0.004 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:4727(reindex)
       38    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1240(is_float_dtype)
       14    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:5525(__finalize__)
      200    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:574(get)
       32    0.001    0.000    0.010    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:542(_set_axis)
       18    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:155(<lambda>)
      500    0.001    0.000    0.060    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:3128(signature)
        1    0.001    0.001    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\missing.py:267(_isna_string_dtype)
        7    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:5178(equals)
      200    0.001    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\fixes.py:100(delayed_function)
        2    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:609(__init__)
        7    0.001    0.000    0.009    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:7106(_maybe_cast_data_without_dtype)
      4/2    0.001    0.000    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:732(_initialize_backend)
      402    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\queue.py:209(_qsize)
        4    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:680(is_integer_dtype)
        2    0.001    0.000    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\queue.py:34(__init__)
      400    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:271(_is_owned)
        1    0.001    0.001    0.001    0.001 {built-in method pandas._libs.missing.isnaobj}
      702    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
       32    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\_config\config.py:563(_select_options)
      500    0.001    0.000    0.060    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2876(from_callable)
     1000    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:159(isfunction)
      514    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        8    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      204    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
      101    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:145(classes)
      228    0.000    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numerictypes.py:282(issubclass_)
      121    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:437(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\uuid.py:333(hex)
       22    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1429(is_extension_array_dtype)
      207    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:73(isclass)
      363    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        7    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\missing.py:390(array_equivalent)
        1    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:198(daemon)
      200    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\queue.py:213(_put)
       29    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1792(_block)
       19    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:289(full)
        5    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\missing.py:911(clean_reindex_fill_method)
       28    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1837(dtype)
      802    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      202    0.000    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:112(__enter__)
     1600    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        4    0.000    0.000    0.005    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:10461(any)
      202    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      100    0.000    0.000    0.008    0.000 <__array_function__ internals>:177(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:2060(_stack_arrays)
      114    0.000    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:165(simplefilter)
      100    0.000    0.000    0.005    0.000 <__array_function__ internals>:177(amax)
      602    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       47    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:5585(__setattr__)
      200    0.000    0.000    0.017    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\queue.py:217(_get)
        1    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:37(current_process)
      100    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:164(<dictcomp>)
      826    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      121    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:477(__exit__)
      101    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\tree\_classes.py:1284(__init__)
      200    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:671(max)
        2    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\disk.py:42(memstr_to_bytes)
       15    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
        2    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:757(_terminate_backend)
      101    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(atleast_1d)
     1100    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      400    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:560(_get_axis)
      401    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
      500    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:514(_is_wrapper)
        2    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\arrays\sparse\accessor.py:36(_validate)
        1    0.000    0.000    0.101    0.101 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:465(<listcomp>)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_all_arraylike}
      500    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      114    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:561(_ensure_no_complex_data)
        4    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexing.py:130(iloc)
      200    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:877(print_progress)
      200    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        3    0.000    0.000    0.154    0.051 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:875(take)
        2    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexing.py:2474(check_deprecated_indexers)
     1100    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\copy.py:182(_deepcopy_atomic)
        6    0.000    0.000    0.104    0.017 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:1098(take)
       44    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:640(name)
      500    0.000    0.000    0.000    0.000 {built-in method _operator.lt}
      200    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:345(__init__)
        4    0.000    0.000    0.004    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:4435(_reduce)
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      600    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:275(__len__)
        5    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\inference.py:262(is_dict_like)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.map_infer}
      101    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\tree\_classes.py:100(__init__)
      100    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2670(_amax_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\construction.py:233(mgr_to_mgr)
       37    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1747(pandas_dtype)
       31    0.000    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1731(from_array)
        2    0.000    0.000    0.029    0.014 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:713(_slice_take_blocks_ax0)
        5    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1960(construct_1d_object_array_from_listlike)
        1    0.000    0.000    0.002    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\common.py:287(maybe_iterable_to_list)
      500    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      505    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       35    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:1973(get_block_type)
       14    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:654(_simple_new)
        4    0.000    0.000    0.002    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\nanops.py:257(_get_values)
       24    0.000    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:5726(dtypes)
      200    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:93(batch_completed)
       45    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:590(name)
       72    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:438(ensure_wrapped_if_datetimelike)
        5    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
      200    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\multiarray.py:148(concatenate)
      500    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2882(parameters)
        8    0.000    0.000    0.098    0.012 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
      214    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2155(_sum_dispatcher)
       37    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:1944(maybe_coerce_values)
       64    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\_config\config.py:595(_get_deprecated_option)
       11    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\arraysetops.py:133(_unique_dispatcher)
      115    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
      202    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:89(compute_batch_size)
        2    0.000    0.000    0.104    0.052 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:895(take)
        4    0.000    0.000    0.098    0.025 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:1098(take_nd)
       16    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\base.py:744(__iter__)
        4    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\__init__.py:220(_determine_key_type)
        4    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\nanops.py:191(_get_fill_value)
        4    0.000    0.000    0.099    0.025 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:634(reindex_indexer)
       24    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:226(get_dtypes)
        4    0.000    0.000    0.000    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
       34    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:2039(check_ndim)
        1    0.000    0.000    0.003    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\missing.py:149(_isna)
        3    0.000    0.000    0.002    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\apply.py:1118(apply_standard)
      134    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:884(__len__)
       45    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\typing.py:1340(cast)
      100    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\multiarray.py:883(bincount)
        7    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:554(_dtype_to_subclass)
    67/66    0.000    0.000    0.003    0.000 {built-in method builtins.all}
      200    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:216(__enter__)
        9    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:5658(f)
      200    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:63(_recreate_cm)
        4    0.000    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:3706(get_indexer)
      200    0.000    0.000    0.000    0.000 {built-in method _operator.gt}
      121    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\multiarray.py:1071(copyto)
       44    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1721(validate_all_hashable)
        1    0.000    0.000    0.017    0.017 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:422(partial_fit)
        7    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\base.py:53(shape)
       15    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:581(is_dtype_equal)
       12    0.000    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\arrays\sparse\accessor.py:225(_validate)
        2    0.000    0.000    0.019    0.009 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\frame.py:3463(__getitem__)
        1    0.000    0.000    0.005    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1937(create_block_manager_from_column_arrays)
        1    0.000    0.000    0.341    0.341 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\model_selection\_split.py:2334(train_test_split)
        6    0.000    0.000    0.104    0.017 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\algorithms.py:1352(take)
      100    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2965(_prod_dispatcher)
       11    0.000    0.000    0.045    0.004 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:384(<listcomp>)
       88    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1740(<genexpr>)
        8    0.000    0.000    0.098    0.012 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\array_algos\take.py:57(take_nd)
       31    0.000    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:802(is_empty_data)
       35    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1700(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\missing.py:107(clean_fill_method)
        1    0.000    0.000    0.005    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:4655(reindex)
       27    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:191(is_sparse)
        8    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:4973(__contains__)
        5    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:1859(isscalar)
       34    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:627(_sanitize_ndim)
        9    0.000    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:5640(_protect_consolidate)
      100    0.000    0.000    0.000    0.000 {built-in method _operator.le}
        8    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\frame.py:898(_values)
       38    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:379(extract_array)
        9    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:580(_pandas_dtype_needs_early_conversion)
       36    0.000    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:636(_info_axis)
       28    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:575(dtype)
        4    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:267(make_block_same_class)
       26    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:441(_validate_dtype)
        2    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:82(RLock)
        1    0.000    0.000    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:6615(drop)
       31    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\base.py:465(find)
        1    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:88(_handle_zeros_in_scale)
        4    0.000    0.000    0.244    0.061 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\__init__.py:290(_safe_indexing)
        1    0.000    0.000    0.005    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\nanfunctions.py:370(nanmax)
        5    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1673(_consolidate_check)
       22    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1483(is_ea_or_datetimelike_dtype)
      123    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       23    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\base.py:286(is_dtype)
        7    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:425(__init__)
       11    0.000    0.000    0.000    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:937(dtype)
